
          texto|           tipo|       atributo
--------------------------------
Comentario:
/*  Funcao para escrever a tabela de palavras  */
           void|             20|
   ExibirTabela|             23|   ExibirTabela
              (|             36|
              )|             37|
              {|             40|
          local|             12|
              :|             44|
            int|             11|
              i|             23|              i
              ;|             42|
          logic|             13|
            fim|             23|            fim
              ;|             42|
     statements|             18|
              :|             44|
          write|             22|
              (|             36|
               |             27|               
              ,|             43|
Palavra             |             27|Palavra             
              ,|             43|
   Num. de ocorr.|             27|   Num. de ocorr.
              )|             37|
              ;|             42|
            for|              7|
              (|             36|
              i|             23|              i
             <-|             35|
              1|             24|              1
              ;|             42|
              i|             23|              i
             <=|             32|              2
             50|             24|             50
              ;|             42|
              i|             23|              i
             <-|             35|
              i|             23|              i
              +|             33|              1
              1|             24|              1
              )|             37|
          write|             22|
              (|             36|
              -|             27|              -
              )|             37|
              ;|             42|
            for|              7|
              (|             36|
              i|             23|              i
             <-|             35|
              1|             24|              1
              ;|             42|
              i|             23|              i
             <=|             32|              2
           ntab|             23|           ntab
              ;|             42|
              i|             23|              i
             <-|             35|
              i|             23|              i
              +|             33|              1
              1|             24|              1
              )|             37|
              {|             40|
          write|             22|
              (|             36|
   \n          |             27|   \n          
              )|             37|
              ;|             42|
            fim|             23|            fim
             <-|             35|
          false|              5|
              ;|             42|
            for|              7|
              (|             36|
              j|             23|              j
             <-|             35|
              0|             24|              0
              ;|             42|
              !|             31|
            fim|             23|            fim
              ;|             42|
              j|             23|              j
             <-|             35|
              j|             23|              j
              +|             33|              1
              1|             24|              1
              )|             37|
              {|             40|
             if|             10|
              (|             36|
          nomes|             23|          nomes
              [|             38|
              i|             23|              i
              ,|             43|
              j|             23|              j
              ]|             39|
              =|             32|              5
           '\0'|             25|           '\0'
              )|             37|
            fim|             23|            fim
             <-|             35|
           true|             19|
              ;|             42|
           else|              4|
          write|             22|
              (|             36|
          nomes|             23|          nomes
              [|             38|
              i|             23|              i
              ,|             43|
              j|             23|              j
              ]|             39|
              )|             37|
              ;|             42|
              }|             41|
          write|             22|
              (|             36|
             | |             27|             | 
              ,|             43|
         nocorr|             23|         nocorr
              [|             38|
              i|             23|              i
              ]|             39|
              )|             37|
              ;|             42|
              }|             41|
              }|             41|
Comentario:
/* Fim da funcao ExibirTabela */
